"part_id","hh_id","part_age","part_gender"
"F9_601336","HHF9_601336","5-11","M"
"F9_601339","HHF9_601339","70-120","M"
"F9_601343","HHF9_601343","50-59","F"
"F9_601346","HHF9_601346","60-69","M"
"F9_601351","HHF9_601351","0-4","F"
"F9_601355","HHF9_601355","50-59","M"
"F9_601356","HHF9_601356","40-49","M"
"F9_601357","HHF9_601357","50-59","F"
"F9_601363","HHF9_601363","18-29","F"
"F9_601367","HHF9_601367","30-39","F"
"A8_10274","HHA8_10274","30-39","F"
"F9_601372","HHF9_601372","30-39","F"
"F9_601377","HHF9_601377","0-4","F"
"F9_601380","HHF9_601380","30-39","F"
"F9_601381","HHF9_601381","18-29","F"
"F9_601382","HHF9_601382","18-29","F"
"F9_601383","HHF9_601383","40-49","M"
"F9_601385","HHF9_601385","40-49","M"
"F9_601388","HHF9_601388","60-69","M"
"F9_601391","HHF9_601391","50-59","M"
"F9_601394","HHF9_601394","18-29","F"
"A8_10275","HHA8_10275","60-69","F"
"F9_601395","HHF9_601395","50-59","F"
"F9_601396","HHF9_601396","60-69","F"
"F9_601399","HHF9_601399","40-49","M"
"F9_601402","HHF9_601402","18-29","F"
"F9_601404","HHF9_601404","5-11","F"
"F9_601407","HHF9_601407","50-59","F"
"F9_601410","HHF9_601410","60-69","M"
"F9_601413","HHF9_601413","18-29","F"
"F9_601414","HHF9_601414","30-39","F"
"F9_601415","HHF9_601415","30-39","M"
"A8_10276","HHA8_10276","60-69","M"
"F9_601420","HHF9_601420","50-59","F"
"F9_601424","HHF9_601424","0-4","F"
"F9_601426","HHF9_601426","18-29","M"
"F9_601427","HHF9_601427","30-39","F"
"F9_601432","HHF9_601432","40-49","F"
"F9_601433","HHF9_601433","18-29","M"
"F9_601436","HHF9_601436","40-49","F"
"F9_601442","HHF9_601442","50-59","F"
"F9_601443","HHF9_601443","50-59","F"
"F9_601450","HHF9_601450","18-29","M"
"A8_10277","HHA8_10277","40-49","M"
"F9_601454","HHF9_601454","40-49","M"
"F9_601456","HHF9_601456","50-59","F"
"F9_601462","HHF9_601462","30-39","M"
"F9_601464","HHF9_601464","18-29","M"
"F9_601466","HHF9_601466","30-39","F"
"F9_601468","HHF9_601468","18-29","M"
"F9_601471","HHF9_601471","60-69","F"
"F9_601473","HHF9_601473","50-59","F"
"F9_601474","HHF9_601474","5-11","F"
"F9_601483","HHF9_601483","40-49","F"
"A8_10279","HHA8_10279","40-49","M"
"F9_601485","HHF9_601485","50-59","M"
"F9_601487","HHF9_601487","30-39","F"
"F9_601488","HHF9_601488","30-39","M"
"F9_601489","HHF9_601489","60-69","M"
